w1,w2,w3,w4,w5,w6,CL,CD,CM
-0.047900,-0.581881,-0.432287,0.117143,0.170603,0.424036,-0.236900,0.01560000,0.123600
-0.292450,-0.252750,-0.200839,0.378165,0.439785,0.422569,0.512000,0.01136000,-0.038900
-0.529949,-0.151301,-0.040350,0.258292,0.148180,0.188749,0.322600,0.01278000,-0.053300
-0.239248,-0.021424,-0.010159,0.311083,0.203740,0.124282,0.605500,0.01071000,-0.044800
-0.320317,-0.219828,-0.165664,0.504560,0.512131,0.206248,0.615100,0.01381000,-0.024400
-0.064304,-0.591859,-0.129858,0.129659,0.164915,0.489329,0.153000,0.01325000,0.007600
-0.050899,-0.311893,-0.187202,0.127016,0.106170,0.133974,0.163800,0.00752000,0.050800
-0.221800,-0.577364,-0.511448,0.497456,0.159994,0.293356,-0.057000,0.01480000,0.145200
-0.582197,-0.342925,-0.083659,0.405690,0.510106,0.123205,0.408900,0.01483000,-0.049300
-0.056626,-0.564275,-0.062521,0.385418,0.188160,0.444139,0.353800,0.01312000,0.016700
-0.200185,-0.158776,-0.189015,0.281823,0.422912,0.257317,0.578900,0.00983000,-0.038900
-0.256200,-0.086646,-0.037233,0.284434,0.420479,0.179767,0.719400,0.01036000,-0.080800
-0.337051,-0.000332,-0.160179,0.324559,0.154608,0.053953,0.349500,0.01180000,0.010800
-0.294187,-0.044365,-0.590726,0.212561,0.184649,0.341199,0.563600,0.01754000,-0.038800
-0.031844,-0.586173,-0.199534,0.501125,0.196014,0.070376,0.252600,0.01580000,0.108200
-0.349615,-0.397814,-0.182288,0.068108,0.086402,0.219358,-0.058200,0.01696000,0.028100
-0.381409,-0.043250,-0.484874,0.081232,0.412246,0.338840,0.064100,0.01738000,0.012100
-0.511390,-0.291124,-0.201077,0.326876,0.316800,0.187793,0.247600,0.01250000,-0.013600
-0.425938,-0.509687,-0.566861,0.321623,0.078801,0.305291,-0.218600,0.01348000,0.111500
-0.507059,-0.147114,-0.319338,0.263959,0.015539,0.119745,-0.025200,0.01316000,0.047700
-0.343499,-0.119738,-0.577372,0.583434,0.580374,0.005588,0.662700,0.02168000,0.029100
-0.294136,-0.474465,-0.141388,0.319609,0.283709,0.227994,0.259900,0.01144000,0.011200
-0.326712,-0.111267,-0.417236,0.271473,0.140711,0.574613,0.251100,0.01394000,-0.001700
-0.535928,-0.106991,-0.008760,0.310496,0.020964,0.090940,0.249700,0.01371000,-0.023100
-0.484795,-0.455744,-0.255643,0.185328,0.064574,0.153807,-0.182300,0.01225000,0.056300
-0.353843,-0.363580,-0.018333,0.519038,0.307097,0.495018,0.525800,0.01574000,-0.048000
-0.456029,-0.368795,-0.036528,0.341248,0.424743,0.081666,0.382800,0.01264000,-0.031900
-0.566189,-0.377329,-0.236177,0.251786,0.415564,0.452185,0.291300,0.01273000,-0.070300
-0.396918,-0.580915,-0.084585,0.502492,0.081938,0.353678,0.185200,0.01565000,0.027100
-0.033858,-0.062185,-0.546229,0.364135,0.349984,0.181558,0.770300,0.01942000,-0.002300
-0.028341,-0.022273,-0.026283,0.548826,0.160963,0.188699,0.834000,0.01482000,-0.016000
-0.150931,-0.173177,-0.288818,0.438746,0.199299,0.289317,0.464100,0.01356000,0.030700
-0.390405,-0.177676,-0.505003,0.236429,0.335155,0.179841,0.273500,0.01168000,0.013800
-0.401678,-0.380902,-0.048656,0.214331,0.271797,0.356663,0.421800,0.00994000,-0.077000
-0.265357,-0.477322,-0.056546,0.470313,0.247640,0.110860,0.339100,0.01346000,0.032800
-0.245920,-0.548781,-0.330702,0.573297,0.254940,0.564110,0.015100,0.01644000,0.100400
-0.240868,-0.198379,-0.521566,0.425687,0.138726,0.091290,0.280200,0.01851000,0.088300
-0.340332,-0.480248,-0.183931,0.407935,0.068304,0.396595,0.107700,0.01358000,0.040000
-0.109517,-0.435941,-0.162097,0.562322,0.558449,0.128201,0.566000,0.01517000,0.032000
-0.445440,-0.030128,-0.089595,0.089878,0.342515,0.423900,0.328800,0.01849000,-0.092300
-0.164957,-0.128585,-0.313155,0.199535,0.307316,0.272605,0.585000,0.01150000,-0.041500
-0.261058,-0.206148,-0.307410,0.595340,0.083058,0.291897,0.326400,0.01403000,0.071600
-0.385615,-0.571814,-0.434292,0.081503,0.480779,0.141869,-0.361000,0.01624000,0.101200
-0.105492,-0.034836,-0.594887,0.116217,0.090618,0.043004,0.271200,0.01969000,0.064600
-0.309816,-0.381051,-0.383749,0.322777,0.228973,0.469435,0.028100,0.01064000,0.058700
-0.314609,-0.296438,-0.578446,0.153570,0.229113,0.231388,0.199200,0.01348000,0.028400
-0.064201,-0.392341,-0.033824,0.597550,0.203235,0.569316,0.626100,0.01617000,-0.009400
-0.567466,-0.155914,-0.598969,0.253845,0.252694,0.498751,0.346100,0.01322000,-0.053900
-0.472784,-0.432939,-0.435707,0.205539,0.528928,0.105333,0.070200,0.01233000,0.027400
-0.005084,-0.504439,-0.564429,0.210331,0.583152,0.307856,0.390200,0.01407000,0.031200
-0.185295,-0.447492,-0.496410,0.192063,0.459795,0.191609,0.116700,0.01150000,0.066900
-0.278170,-0.104718,-0.104533,0.562721,0.220902,0.171049,0.620000,0.01406000,-0.002300
-0.292166,-0.024144,-0.078205,0.099257,0.215394,0.029491,0.323700,0.01036000,-0.023000
-0.322317,-0.373898,-0.454161,0.143330,0.420132,0.125612,0.009500,0.01031000,0.060300
-0.569673,-0.107520,-0.036516,0.342749,0.113223,0.440003,0.402700,0.01509000,-0.083000
-0.373903,-0.322496,-0.249497,0.106839,0.291758,0.337927,0.146900,0.00952000,-0.016700
-0.303526,-0.205748,-0.233767,0.255953,0.031312,0.271738,0.147900,0.01033000,0.029000
-0.497075,-0.374597,-0.599492,0.555807,0.414089,0.348138,0.021300,0.01564000,0.088600
-0.412195,-0.153880,-0.093104,0.549300,0.445804,0.082205,0.632900,0.01536000,-0.027100
-0.159932,-0.134687,-0.272334,0.508428,0.457441,0.471381,0.744400,0.01659000,-0.035300
-0.278750,-0.545594,-0.446271,0.134779,0.437631,0.033205,-0.129600,0.01143000,0.098900
-0.198381,-0.126483,-0.334961,0.293672,0.424588,0.278052,0.705000,0.01360000,-0.051700
-0.282259,-0.441382,-0.044210,0.327527,0.254957,0.335928,0.402900,0.01162000,-0.030400
